年代,1回目接種数,1回目接種率,2回目接種数,2回目接種率,date
全体,637565,45.23,497224,35.27,2021-08-25
65歳以上,342230,86.59,324095,82.0,2021-08-25
60歳～64歳,50021,66.57,34377,45.75,2021-08-25
50歳～59歳,86301,46.98,52587,28.63,2021-08-25
40歳～49歳,66372,31.75,37759,18.06,2021-08-25
30歳～39歳,40322,24.88,22270,13.74,2021-08-25
20歳～29歳,39428,24.32,20849,12.86,2021-08-25
12歳～19歳,9817,10.22,3654,3.8,2021-08-25
全体,643224,45.63,503803,35.74,2021-08-26
65歳以上,342720,86.72,325005,82.23,2021-08-26
60歳～64歳,50362,67.02,35055,46.65,2021-08-26
50歳～59歳,87883,47.84,54359,29.59,2021-08-26
40歳～49歳,68099,32.57,39277,18.79,2021-08-26
30歳～39歳,41530,25.63,23324,14.39,2021-08-26
20歳～29歳,40340,24.89,21766,13.43,2021-08-26
12歳～19歳,10135,10.55,3893,4.05,2021-08-26
全体,655590,46.51,515578,36.57,2021-08-28
65歳以上,343265,86.85,326191,82.53,2021-08-28
60歳～64歳,50856,67.68,36313,48.32,2021-08-28
50歳～59歳,90650,49.35,57646,31.38,2021-08-28
40歳～49歳,71305,34.11,41854,20.02,2021-08-28
30歳～39歳,43605,26.91,24859,15.34,2021-08-28
20歳～29歳,42557,26.25,23126,14.27,2021-08-28
12歳～19歳,11130,11.58,4434,4.61,2021-08-28
全体,658179,46.69,516859,36.66,2021-08-29
65歳以上,343293,86.86,326203,82.54,2021-08-29
60歳～64歳,50954,67.81,36373,48.4,2021-08-29
50歳～59歳,91151,49.62,57899,31.52,2021-08-29
40歳～49歳,71907,34.4,42124,20.15,2021-08-29
30歳～39歳,43982,27.14,25004,15.43,2021-08-29
20歳～29歳,43086,26.58,23482,14.49,2021-08-29
12歳～19歳,11578,12.05,4617,4.8,2021-08-29
全体,663677,47.08,520987,36.96,2021-08-30
65歳以上,343463,86.9,326412,82.59,2021-08-30
60歳～64歳,51198,68.13,36659,48.78,2021-08-30
50歳～59歳,92311,50.25,58859,32.04,2021-08-30
40歳～49歳,73382,35.1,42947,20.54,2021-08-30
30歳～39歳,44886,27.7,25656,15.83,2021-08-30
20歳～29歳,44278,27.32,24432,15.07,2021-08-30
12歳～19歳,11887,12.37,4839,5.04,2021-08-30
全体,671096,47.91,527780,37.68,2021-08-31
65歳以上,343705,86.81,326702,82.51,2021-08-31
60歳～64歳,51470,67.87,37192,49.05,2021-08-31
50歳～59歳,93911,49.71,60639,32.1,2021-08-31
40歳～49歳,75420,36.89,44576,21.8,2021-08-31
30歳～39歳,46179,29.35,26758,17.01,2021-08-31
20歳～29歳,45647,28.53,25529,15.96,2021-08-31
12歳～19歳,12424,13.15,5179,5.48,2021-08-31
全体,678137,48.41,534748,38.18,2021-09-01
65歳以上,343909,86.86,327065,82.6,2021-09-01
60歳～64歳,51771,68.27,37752,49.78,2021-09-01
50歳～59歳,95347,50.47,62306,32.98,2021-09-01
40歳～49歳,77204,37.76,45846,22.42,2021-09-01
30歳～39歳,47512,30.2,27652,17.58,2021-09-01
20歳～29歳,47047,29.41,27306,17.07,2021-09-01
12歳～19歳,12957,13.72,5590,5.92,2021-09-01
全体,690694,49.31,549756,39.25,2021-09-02
65歳以上,344684,87.05,328288,82.91,2021-09-02
60歳～64歳,52565,69.32,38896,51.29,2021-09-02
50歳～59歳,98125,51.94,65778,34.82,2021-09-02
40歳～49歳,80370,39.31,49442,24.18,2021-09-02
30歳～39歳,49843,31.68,30247,19.23,2021-09-02
20歳～29歳,49248,30.78,29921,18.7,2021-09-02
12歳～19歳,13421,14.21,5935,6.28,2021-09-02
全体,708371,50.57,556799,39.75,2021-09-05
65歳以上,345260,87.2,328837,83.05,2021-09-05
60歳～64歳,53186,70.14,39335,51.87,2021-09-05
50歳～59歳,101688,53.82,67119,35.52,2021-09-05
40歳～49歳,85052,41.6,50801,24.85,2021-09-05
30歳～39歳,53030,33.71,31237,19.86,2021-09-05
20歳～29歳,52429,32.77,31888,19.93,2021-09-05
12歳～19歳,15543,16.45,6446,6.82,2021-09-05
